Tema,Objeto,Pregunta,Respuesta1,Respuesta2,Respuesta3,Respuesta4,RespuestaCorrecta,Imagenes
Fotografía,Cámara Brownie Kodak,¿Cuál es la meta del pensamiento decolonial?,Impulsar el nacionalismo,Lucrar con el pasado,Apreciar la conquista,Respetar a los pueblos originarios,Respetar a los pueblos originarios,1.jpg
Fotografía,Proyector 8mm Kodak,"¿Qué significa ""Chichimeca""?",Sin cultura,Linaje de perro,Linaje muerto,Linaje de cazador,Linaje de perro,2.jpg
Fotografía,Fotometro Sixtomat Blanco,"¿Cómo surge el término ""Indio""?","De la palabra ""Indiferencia""",Confundieron América con India,"Abreviación de ""Indígena""","Del latin: Indus / ""Ajeno""",Confundieron América con India,3.jpg
Fotografía,Cámara fotográfica NOBA,Característica principal de la vida nómada,Falta de un hogar,Inestabilidad cultural,Supervivencia solitaria,Supervivencia al ritmo de la naturaleza,Supervivencia al ritmo de la naturaleza,4.jpg
Fotografía,Flash Agfalux,Base de la dieta nómada en el noreste colonial,Carne blanca (Aves),"Frutos silvestres (Tunas, Mezquite)","Lacteos (Quesos, Natillas)","Cereales (Trigo, Maíz)","Frutos silvestres (Tunas, Mezquite)",5.jpg
Agricultura,Carretilla roja,Definición de mitote:,Batalla campal,Ave del desierto,Mentire muy grande,Congregación de tribus,Congregación de tribus,6.jpg
Agricultura,Aspa de molino,¿En qué siglo llegaron los conquistadores al noreste mexicano?,Siglo XVIII,Siglo XVI,Siglo XIX,Siglo XXI,Siglo XVI,7.jpg
Agricultura,Desgranadora de maiz,¿Que fue la evangelización?,Conquista religiosa,Expansión natural del catolicísmo,Lecturas masivas del evangelio,Ceremonial tradicional del siglo XVI,Conquista religiosa,8.jpg
Agricultura,Punta para Arado 0224,Grupo migratorio principal del noreste colonial,Judíos pregrinos,Cristianos templarios,Judíos lusitanos,Protestantes españoles,Judíos lusitanos,9.jpg
Agricultura,Punta para arado 0226,Objetivo de las encomiendas,Liberar escalvos,Evangelizar pueblos indígenas,Esclavizar tribus nómadas,Declarar la guerra a los indígenas,Esclavizar tribus nómadas,10.jpg
Industria o Comercio,Juego de pesas,Fundador de Nuevo León,Luis de Carvajal,Diego de Montemayor,Cristobal Colón,Alberto del Canto,Luis de Carvajal,11.jpg
Industria o Comercio,Báscula balanza,Fundador de Monterrey,Luis de Carvajal,Diego de Montemayor,Cristobal Colón,Alberto del Canto,Diego de Montemayor,12.jpg
Industria o Comercio,Fanega,Fundador de San Pedro Garza García,Luis de Carvajal,Diego de Montemayor,Cristobal Colón,Alberto del Canto,Diego de Montemayor,13.jpg
Industria o Comercio,Rueca hiladora,¿Quién utilizaba este objeto?,Ganaderos,Agricultores,Artesanos,Comerciantes,Artesanos,0057_RuecaHiladora.png
Industria o Comercio,Sumadora Burroughs,¿Dónde se utilizaba este objeto?,En la granja,En un negocio,En el tianguis,En la primaria,En un negocio,0219_Sumadora.png
